id,completion_time,execution_time,waiting_time
0,179,78,101
1,65,41,24
2,76,47,29
3,33,33,0
4,229,105,124
5,31,31,0
6,147,62,85
7,303,118,185
8,222,83,139
9,453,211,242
10,76,45,31
11,42,33,9
12,70,38,32
13,56,44,12
14,224,93,131
15,93,52,41
16,253,89,164
17,373,154,219
18,1137,638,499
19,2675,1979,696
20,198,81,117
21,102,55,47
22,103,50,53
23,39,39,0
24,198,72,126
25,46,46,0
26,158,70,88
27,302,107,195
28,238,97,141
29,633,362,271
30,107,46,61
31,64,50,14
32,125,63,62
33,54,35,19
34,219,86,133
35,131,64,67
36,279,102,177
37,408,180,228
38,1848,1215,633
39,3259,2346,913
40,209,90,119
41,142,67,75
42,144,64,80
43,43,41,2
44,211,84,127
45,75,54,21
46,167,68,99
47,321,104,217
48,256,94,162
49,886,612,274